Name,State,City,Zip,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Bemidji State University,MN,BEMIDJI,56601,No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46
Benedictine College,KS,ATCHISON,66002,Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
Bennington College,VT,BENNINGTON,05201,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55
Berry College,GA,MOUNT BERRY,30149,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63
Bethany College,WV,BETHANY,26032,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48
Birmingham-Southern College,AL,BIRMINGHAM,35254,Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14,34,8649,72
Blackburn College,IL,CARLINVILLE,62626,Yes,500,336,156,25,55,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51
Bluefield College,VA,BLUEFIELD,24605,Yes,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
Boston University,MA,BOSTON,02215,Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72
Bowdoin College,ME,BRUNSWICK,04011,Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96
Bradley University,IL,PEORIA,61625,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85
Brandeis University,MA,WALTHAM,02454,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
Brenau University,GA,GAINESVILLE,30501,Yes,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49
Brewton-Parker College,GA,MOUNT VERNON,30445,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
Bridgewater College,VA,BRIDGEWATER,22812,Yes,838,673,292,22,53,881,55,10265,4725,560,875,68,73,13.2,24,8655,82
Brown University,RI,PROVIDENCE,02912,Yes,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97
Bryn Mawr College,PA,BRYN MAWR,19010,Yes,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89
Bucknell University,PA,LEWISBURG,17837,Yes,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93
Butler University,IN,INDIANAPOLIS,46208,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83
California Lutheran University,CA,THOUSAND OAKS,91360,Yes,563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60
Campbell University,NC,BUIES CREEK,27506,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63
Canisius College,NY,BUFFALO,14208,Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64
Capital University,OH,COLUMBUS,43209,Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
Carleton College,MN,NORTHFIELD,55057,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91
Carnegie Mellon University,PA,PITTSBURGH,15213,Yes,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74
Carroll College,MT,HELENA,59625,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
Carthage College,WI,KENOSHA,53140,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62
Case Western Reserve University,OH,CLEVELAND,44106,Yes,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67
Catawba College,NC,SALISBURY,28144,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
Cazenovia College,NY,CAZENOVIA,13035,Yes,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
Cedar Crest College,PA,ALLENTOWN,18104,Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
Centenary College of Louisiana,LA,SHREVEPORT,71104,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66
Central College,IA,PELLA,50219,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67
Central Connecticut State University,CT,NEW BRITAIN,06050,No,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49
Central Washington University,WA,ELLENSBURG,98926,No,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
Centre College,KY,DANVILLE,40422,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
Chapman University,CA,ORANGE,92866,Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47
Chestnut Hill College,PA,PHILADELPHIA,19118,Yes,342,254,126,25,64,518,232,10335,5015,700,850,71,71,8.3,29,7729,73
Christian Brothers University,TN,MEMPHIS,38104,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
Christopher Newport University,VA,NEWPORT NEWS,23606,No,883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48
Claremont McKenna College,CA,CLAREMONT,91711,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87
Clark University,MA,WORCESTER,01610,Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79
Clarkson University,NY,POTSDAM,13699,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77
Clemson University,SC,CLEMSON,29634,No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18,17,7597,73
Coe College,IA,CEDAR RAPIDS,52402,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67
Colby College,ME,WATERVILLE,04901,Yes,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91
Colgate University,NY,HAMILTON,13346,Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93
College of Charleston,SC,CHARLESTON,29424,No,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51
College of Saint Benedict,MN,SAINT JOSEPH,56374,Yes,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
College of the Holy Cross,MA,WORCESTER,01610,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95
Colorado College,CO,COLORADO SPRINGS,80903,Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84
Columbia College,CA,SONORA,95370,Yes,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76
Connecticut College,CT,NEW LONDON,06320,Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
Converse College,SC,SPARTANBURG,29302,Yes,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75
Cornell College,IA,MOUNT VERNON,52314,Yes,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64
Creighton University,NE,OMAHA,68178,Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85
Culver-Stockton College,MO,CANTON,63435,Yes,1576,1110,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51
D'Youville College,NY,BUFFALO,14201,Yes,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46
Dartmouth College,NH,HANOVER,03755,Yes,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98
Davidson College,NC,DAVIDSON,28035,Yes,2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12,46,17581,94
Defiance College,OH,DEFIANCE,43512,Yes,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56
Delta State University,MS,CLEVELAND,38733,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58
Denison University,OH,GRANVILLE,43023,Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81
DePauw University,IN,GREENCASTLE,46135,Yes,1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82
Dickinson College,PA,CARLISLE,17013,Yes,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87
Dickinson State University,ND,DICKINSON,58601,No,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46
Dillard University,LA,NEW ORLEANS,70122,Yes,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61
Dominican College of Blauvelt,NY,ORANGEBURG,10962,Yes,360,329,108,4,19,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54
Drake University,IA,DES MOINES,50311,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15,24,9473,77
Drew University,NJ,MADISON,07940,Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83
Duke University,NC,DURHAM,27708,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,27206,97
Earlham College,IN,RICHMOND,47374,Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78
East Carolina University,NC,GREENVILLE,27858,No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58
East Tennessee State University,TN,JOHNSON CITY,37614,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42
East Texas Baptist University,TX,MARSHALL,75670,Yes,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
Eastern Connecticut State University,CT,WILLIMANTIC,06226,No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
Eastern Illinois University,IL,CHARLESTON,61920,No,5597,4253,1565,12,38,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76
Eastern Nazarene College,MA,QUINCY,02170,Yes,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70
Elizabethtown College,PA,ELIZABETHTOWN,17022,Yes,2417,1843,426,36,70,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81
Elmira College,NY,ELMIRA,14901,Yes,1457,1045,345,27,50,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64
Emory & Henry College,VA,EMORY,24327,Yes,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82
Emory University,GA,ATLANTA,30322,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5,28,28457,96
Emporia State University,KS,EMPORIA,66801,No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50
Erskine College,SC,DUE WEST,29639,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67
Eureka College,IL,EUREKA,61530,Yes,560,454,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53
Fairfield University,CT,FAIRFIELD,06824,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94
Fayetteville State University,NC,FAYETTEVILLE,28301,No,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24
Ferrum College,VA,FERRUM,24088,Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22
Flagler College,FL,SAINT AUGUSTINE,32084,Yes,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69
Florida Institute of Technology,FL,MELBOURNE,32901,Yes,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57
Florida International University,FL,MIAMI,33199,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
Florida Southern College,FL,LAKELAND,33801,Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68
Florida State University,FL,TALLAHASSEE,32306,No,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58
Fordham University,NY,BRONX,10458,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
Fort Lewis College,CO,DURANGO,81301,No,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46
Francis Marion University,SC,FLORENCE,29506,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43
Franciscan University of Steubenville,OH,STEUBENVILLE,43952,Yes,553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83
Franklin College,IN,FRANKLIN,46131,Yes,804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60
Freed-Hardeman University,TN,HENDERSON,38340,Yes,895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62
Furman University,SC,GREENVILLE,29613,Yes,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82
Gannon University,PA,ERIE,16541,Yes,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65
Geneva College,PA,BEAVER FALLS,15010,Yes,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74
George Mason University,VA,FAIRFAX,22030,No,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46
George Washington University,DC,WASHINGTON,20052,Yes,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72
Georgetown College,KY,GEORGETOWN,40324,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55
Georgetown University,DC,WASHINGTON,20057,Yes,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
Georgia State University,GA,ATLANTA,30303,No,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34
Gettysburg College,PA,GETTYSBURG,17325,Yes,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
Gonzaga University,WA,SPOKANE,99258,Yes,1886,1524,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69
Gordon College,MA,WENHAM,01984,Yes,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
Goshen College,IN,GOSHEN,46526,Yes,440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72
Goucher College,MD,BALTIMORE,21204,Yes,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77
Grand Valley State University,MI,ALLENDALE,49401,No,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57
Greensboro College,NC,GREENSBORO,27401,Yes,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13,31,7949,39
Grinnell College,IA,GRINNELL,50112,Yes,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
Grove City College,PA,GROVE CITY,16127,Yes,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100
Guilford College,NC,GREENSBORO,27410,Yes,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65
Gustavus Adolphus College,MN,SAINT PETER,56082,Yes,1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80
Hamilton College,NY,CLINTON,13323,Yes,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
Hamline University,MN,SAINT PAUL,55104,Yes,1006,825,328,34,73,1362,102,13252,4194,450,550,89,93,13,33,10296,65
Hampton University,VA,HAMPTON,23668,Yes,7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60,64,14,9,6791,70
Hanover College,IN,HANOVER,47243,Yes,1006,837,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64
Hardin-Simmons University,TX,ABILENE,79698,Yes,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38
Harding University,AR,SEARCY,72149,Yes,1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73
Hartwick College,NY,ONEONTA,13820,Yes,2083,1725,430,22,49,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73
Harvard University,MA,CAMBRIDGE,02138,Yes,13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100
Harvey Mudd College,CA,CLAREMONT,91711,Yes,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100
Hastings College,NE,HASTINGS,68901,Yes,817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13,17,7335,52
Hendrix College,AR,CONWAY,72032,Yes,823,721,274,52,87,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63
Hillsdale College,MI,HILLSDALE,49242,Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12,31,12639,79
Hiram College,OH,HIRAM,44234,Yes,922,729,244,37,66,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79
Hofstra University,NY,HEMPSTEAD,11549,Yes,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
Hood College,MD,FREDERICK,21701,Yes,699,565,176,36,64,710,399,13960,6040,450,690,82,88,14.4,34,12434,72
Hope College,MI,HOLLAND,49422,Yes,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72
Houghton College,NY,HOUGHTON,14744,Yes,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15,24,8187,67
Huntingdon College,AL,MONTGOMERY,36106,Yes,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44
Illinois College,IL,JACKSONVILLE,62650,Yes,894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52
Illinois Institute of Technology,IL,CHICAGO,60616,Yes,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56
Illinois State University,IL,NORMAL,61790,No,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54
Illinois Wesleyan University,IL,BLOOMINGTON,61702,Yes,3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83
Indiana State University,IN,TERRE HAUTE,47809,No,5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40
Iona College,NY,NEW ROCHELLE,10801,Yes,4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66,83,16,14,8107,66
Iowa State University,IA,AMES,50011,No,8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65
Ithaca College,NY,ITHACA,14850,Yes,7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75
James Madison University,VA,HARRISONBURG,22807,No,11223,5285,2082,32,72,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98
John Brown University,AR,SILOAM SPRINGS,72761,Yes,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75
John Carroll University,OH,UNIVERSITY HEIGHTS,44118,Yes,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
Johns Hopkins University,MD,BALTIMORE,21218,Yes,8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90
Judson College,AL,MARION,36756,Yes,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56
Juniata College,PA,HUNTINGDON,16652,Yes,1005,859,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80
Kansas State University,KS,MANHATTAN,66506,No,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54
Kansas Wesleyan University,KS,SALINA,67401,Yes,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68
Keene State College,NH,KEENE,03435,No,3121,2446,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61
Kentucky Wesleyan College,KY,OWENSBORO,42301,Yes,584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62
Kenyon College,OH,GAMBIER,43022,Yes,2212,1538,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88
Keuka College,NY,KEUKA PARK,14478,Yes,461,381,174,10,43,738,55,9600,4550,600,750,55,94,13.3,43,7863,51
Knox College,IL,GALESBURG,61401,Yes,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
La Salle University,PA,PHILADELPHIA,19141,Yes,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84
Lafayette College,PA,EASTON,18042,Yes,4010,2402,572,36,59,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92
LaGrange College,GA,LAGRANGE,30240,Yes,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
Lake Forest College,IL,LAKE FOREST,60045,Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
Lamar University,TX,BEAUMONT,77705,No,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26
Lander University,SC,GREENWOOD,29649,No,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17,11,6119,51
Lawrence University,WI,APPLETON,54911,Yes,1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77
Le Moyne College,NY,SYRACUSE,13214,Yes,1470,1199,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94
Lebanon Valley College,PA,ANNVILLE,17003,Yes,1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85
Lehigh University,PA,BETHLEHEM,18015,Yes,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91
LeTourneau University,TX,LONGVIEW,75602,Yes,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56
Lewis University,IL,ROMEOVILLE,60446,Yes,1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61
Lincoln Memorial University,TN,HARROGATE,37752,Yes,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53
Lincoln University,MO,JEFFERSON CITY,65101,No,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45
Livingstone College,NC,SALISBURY,28144,Yes,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,9268,92
Loras College,IA,DUBUQUE,52004,Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70
Louisiana College,LA,PINEVILLE,71359,Yes,2013,1053,212,33,61,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59
Louisiana Tech University,LA,RUSTON,71272,No,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45
Loyola Marymount University,CA,LOS ANGELES,90045,Yes,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84
